number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_best_iteration,state
22,0.9997322861396067,2026-04-27 16:45:57.516024,2026-04-27 16:45:59.403827,0 days 00:00:01.887803,0.7829783729056218,0.6608413857851274,0.02172668393631921,4,7,1361,0.009532576813406458,0.8197409896991762,0.70858781608686,1360,COMPLETE
23,0.9997169575156476,2026-04-27 16:45:59.404662,2026-04-27 16:46:01.334417,0 days 00:00:01.929755,0.7641587946853242,0.7810689988990892,0.01567917591290342,4,9,1338,0.009349995666137345,0.92273094720398,0.6955361274765408,1337,COMPLETE
24,0.9996903373588771,2026-04-27 16:46:01.334883,2026-04-27 16:46:02.530696,0 days 00:00:01.195813,0.7239330337333788,1.329747641657692,0.03530070174008896,4,6,1177,0.08686595473180135,0.5094059024378527,0.6512724702232536,949,COMPLETE
25,0.9997438372541052,2026-04-27 16:46:02.531529,2026-04-27 16:46:04.109485,0 days 00:00:01.577956,0.7845701357229227,0.44818845167073457,0.027744583305062798,3,7,1384,0.014820209278517191,0.14848955150123042,0.7097413968119833,1383,COMPLETE
26,0.9997330019949529,2026-04-27 16:46:04.110240,2026-04-27 16:46:05.754642,0 days 00:00:01.644402,0.7825895058166535,0.577795458821158,0.030274197203027115,4,9,1203,0.19802241377112012,0.05391582437926514,0.6909714394817462,1202,COMPLETE
27,0.9994077864298861,2026-04-27 16:46:05.755423,2026-04-27 16:46:06.940199,0 days 00:00:01.184776,0.7488621218277184,1.2692526892931342,0.040688143530605424,6,9,926,0.21719352616879975,0.03970100983822105,0.6295451026539567,616,COMPLETE
28,0.9994152629933393,2026-04-27 16:46:06.940760,2026-04-27 16:46:08.760733,0 days 00:00:01.819973,0.7828436536165114,2.165190152814343,0.010073271706584725,4,8,1200,0.7191412951904247,0.03110258187837363,0.6830185276601587,1199,COMPLETE
29,0.9994848106746897,2026-04-27 16:46:08.761201,2026-04-27 16:46:09.494927,0 days 00:00:00.733726,0.7017882423461943,3.0598904792059067,0.05711003233094171,5,9,1094,0.06559741713759619,2.287461665842602,0.7157878795099368,475,COMPLETE
30,0.9997429450855566,2026-04-27 16:46:09.495483,2026-04-27 16:46:11.231239,0 days 00:00:01.735756,0.8547491850288239,0.5461173438968592,0.02992166355296653,4,10,1264,0.16168170287363723,0.07992179813527531,0.6302945806759789,1258,COMPLETE
31,0.999735029034514,2026-04-27 16:46:11.231960,2026-04-27 16:46:12.951566,0 days 00:00:01.719606,0.8410319970942155,0.5291150675144121,0.030641665867545846,4,10,1262,0.16985584206519808,0.08081397412257908,0.6353360995389875,1258,COMPLETE
32,0.9997371905452239,2026-04-27 16:46:12.952365,2026-04-27 16:46:14.645833,0 days 00:00:01.693468,0.840232757969999,0.461300812900126,0.03025992955751734,4,10,1198,0.1648560398203341,0.01488465889480222,0.6381437684057473,1196,COMPLETE
33,0.9996108348308159,2026-04-27 16:46:14.646404,2026-04-27 16:46:16.233254,0 days 00:00:01.586850,0.8426849106216335,0.9973218118001104,0.030646248984799982,5,10,1150,0.6919229447805869,0.012579668942259701,0.6311631983195254,1065,COMPLETE
34,0.9996920679079419,2026-04-27 16:46:16.233791,2026-04-27 16:46:17.243247,0 days 00:00:01.009456,0.8773394984414489,0.34846500109176537,0.04239968965578047,3,10,798,0.1316037689948461,0.020984490678312824,0.6363677600436275,797,COMPLETE
35,0.9993612012798299,2026-04-27 16:46:17.243726,2026-04-27 16:46:18.242750,0 days 00:00:00.999024,0.8931399832102676,1.4571990679713662,0.05768708494216962,6,3,1298,0.4804638862074687,0.006343377118830756,0.6585328544922957,640,COMPLETE
36,0.9992033372393703,2026-04-27 16:46:18.243356,2026-04-27 16:46:18.693468,0 days 00:00:00.450112,0.959670509925831,4.993204662796431,0.10703603482861507,5,10,1061,2.047798860891446,0.09169245304040825,0.6201197816398804,302,COMPLETE
37,0.9995727427831896,2026-04-27 16:46:18.694312,2026-04-27 16:46:20.134475,0 days 00:00:01.440163,0.8394237020824044,0.8903747711704608,0.015196271639864074,3,10,1228,0.03833083258575718,0.021692006306997354,0.6690699525641672,1227,COMPLETE
38,0.9996920367327109,2026-04-27 16:46:20.135275,2026-04-27 16:46:21.676331,0 days 00:00:01.541056,0.8932691186917597,3.000301847875507,0.02045877681092693,4,9,1107,0.14103115618184983,0.007987033138391164,0.643327114677319,1106,COMPLETE
39,0.9995533703523891,2026-04-27 16:46:21.676757,2026-04-27 16:46:22.838541,0 days 00:00:01.161784,0.8479131875432317,1.1193073332456267,0.04951815276180764,5,4,908,0.051583501102497,0.11950530788952869,0.6155786069632392,815,COMPLETE
40,0.9943167878683498,2026-04-27 16:46:22.839382,2026-04-27 16:46:23.587296,0 days 00:00:00.747914,0.831164721957929,0.3844154330289237,0.1984756261353009,8,10,1015,2.1292851508707393,0.05341845148360395,0.6737959042189511,123,COMPLETE
41,0.9997351679952721,2026-04-27 16:46:23.587859,2026-04-27 16:46:25.207388,0 days 00:00:01.619529,0.7499885613666551,0.6002452470023051,0.029328328008583204,4,9,1256,0.19868993076807007,0.050636979864640864,0.6896953699819649,1255,COMPLETE
42,0.9997405826854833,2026-04-27 16:46:25.207968,2026-04-27 16:46:26.685435,0 days 00:00:01.477467,0.7969055582218567,0.7515280461078891,0.03140761195978233,3,9,1330,0.10198382727622621,0.17774262698031126,0.6630379551026497,1329,COMPLETE
43,0.9996869706893281,2026-04-27 16:46:26.686238,2026-04-27 16:46:27.868483,0 days 00:00:01.182245,0.7946081521432946,0.8612389052283073,0.06796464015908342,3,8,1357,0.09458673177134326,0.13955585481404106,0.6611823252106509,1166,COMPLETE
44,0.9997456806121426,2026-04-27 16:46:27.869007,2026-04-27 16:46:29.410591,0 days 00:00:01.541584,0.7435154007825739,1.0806933625556505,0.027793380768579862,3,9,1419,0.33633729388778794,0.019773826134953595,0.6824217649464737,1409,COMPLETE
45,0.9997095905146424,2026-04-27 16:46:29.411142,2026-04-27 16:46:30.659776,0 days 00:00:01.248634,0.6436625549171482,1.5385969782711624,0.03983178695071044,3,8,1437,0.35375368205380314,0.011718293407597717,0.7236374410153819,1217,COMPLETE
46,0.9997104903446559,2026-04-27 16:46:30.660311,2026-04-27 16:46:32.018667,0 days 00:00:01.358356,0.7058685089379412,1.959204447987568,0.03409448797589521,3,9,1325,0.023942456653756158,0.002780683459996829,0.6725466394126729,1275,COMPLETE
47,0.9997239663055525,2026-04-27 16:46:32.019333,2026-04-27 16:46:33.559032,0 days 00:00:01.539699,0.7436248174303549,1.1508217527263127,0.026336974616711698,3,10,1406,0.33650960180897665,0.025279029030692873,0.8417607868078831,1405,COMPLETE
48,0.9995934211649224,2026-04-27 16:46:33.559638,2026-04-27 16:46:34.157415,0 days 00:00:00.597777,0.7990283631059817,0.27218228221446505,0.04605374298030429,3,9,480,0.9935877109872998,0.21876623320861555,0.7691442407667998,479,COMPLETE
49,0.999730630574833,2026-04-27 16:46:34.158270,2026-04-27 16:46:35.462968,0 days 00:00:01.304698,0.67294790973442,0.8233910012704755,0.02709540391431552,3,8,1142,0.051743092098014296,0.013480171776550198,0.6502242134739243,1141,COMPLETE
